"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,"USUM72404101","46","205.7",59314441,"2.5720000000000001",183043096,"83",22374807,1026097,NA,188.2,1200000,110446147,"199","2.359",2,73,13686074,"98",360.163,"758",9.883,47.115,NA,"1"
"Houdini","Houdini - Single","Dua Lipa",2023-09-11,"GBAHT2301246","47","205.1",493627071,"45.3",87874006,"80",150571504,1575378,93.5,35970610,386610043,3129834452,"174","564.64",405,146,28246184,"127",25843941,"3.694",1991527,2389957,NA,"0"
"Danza Kuduro - Cover","GEKIATU BEST AGE SONG - CLUB SONG","MUSIC LAB JPN",2024-02-05,"TCJPA2415647","48","204.4",1655575417,"9",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"If We Ever Broke Up","If We Ever Broke Up","Mae Stephens",2023-10-02,"GBUM72300969","49","203.6",304929492,"43.923000000000002",46133083,"69",61986821,921.044,13872768,390207653,5684815935,19218089,"78","92.638000000000005",822,41,3467570,"36",7444354,"7.1879999999999997",NA,2227494,NA,"1"
"Despacito","Despacito (Featuring Daddy Yankee)","Luis Fonsi",NA,"USUM71607007","50","203.5",1747093405,"178.114",49464650,"74",9537135721,61799279,799.338,78304409,1143297071,569548901,"179","121.23399999999999",116,145,1977014,"118",266603596,"2,359,900",NA,19622551,NA,"0"
"euphoria","euphoria","Kendrick Lamar",NA,"USUG12402839","51","202.1",168434320,"17.167999999999999",62516401,"86",53604746,1846535,NA,NA,NA,174375427,"65","6.4080000000000004",77,20,428.378,"31",3156727,"4.843",4304870,654.482,NA,"1"
"Panda Basi","Panda Basi - EP","Mvua",2023-10-02,"GX3Q92333626","52","200.3",104.271,"249",8.585,"25",2457026781,NA,190,36.666,393.58,NA,NA,"12",NA,0,NA,NA,NA,NA,NA,1.881,NA,"0"
"Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema",NA,"NGA3B2214021","53","198",1391688322,"163.876",130963116,"77",902742581,8099187,599,48.035,2857920,750030685,"316","1,107,265",NA,112,11937930,"146",52073859,"41.487000000000002",5820026,3521951,NA,"0"
"Shape of You","Shape of You","Ed Sheeran",2017-06-01,"GBAHS1600463","54","195.1",3909458734,"316.37799999999999",148037882,"80",8013997219,45770887,2270315,194420058,2320856331,2294804623,"465","402.82900000000001",282,512,2710931,"115",733565655,"651.55700000000002",78149375,1146246,NA,"0"
"Mitu","Mitu - Single","Maian",NA,"EEUM72300001","55","194.3",55.346,"42",16.861,"13",2432265978,8162101,NA,NA,NA,NA,NA,"53",NA,0,NA,NA,NA,NA,NA,200,NA,"0"
"Blinding Lights","Blinding Lights","The Weeknd",NA,"USUG11904206","56","194",4281468720,"590.39200000000005",165544011,"83",833807130,10093211,2882064,337322563,3501177394,2258085924,"859","1,695,240",1.116,564,11701129,"184",489299762,"319.63400000000001",28659471,28994660,NA,"0"
"Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin",2022-02-12,"USUG12208791","57","192.3",1337619917,"228.29499999999999",64806723,"80",193982443,2023998,423.714,148085419,1268862678,444033037,"152","952.18600000000004",34,58,2134791,"66",77382416,"28.693999999999999",NA,6205060,NA,"1"
"Dona Felicidade","Dona Felicidade","Patati Patatï¿",2024-04-06,"QZNJW2423715","58","190",NA,"2",41.206,NA,52480069,82.092,NA,NA,NA,NA,NA,NA,NA,1,1.657,NA,NA,NA,NA,0,NA,"0"
"Danza Kuduro - Cover","YOUGAKU MORIMORI CLUB MEDLEY","MUSIC LAB JPN",NA,"TCJPA2420090","59","190",1655575417,"1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith",NA,"GBUM72205415","60","189.1",1556275789,"210.583",95974138,"74",254051906,3364206,2379787,683088623,7945975878,1524133775,"203","718.84900000000005",117,63,1616564,"167",111398743,"71.334999999999994",10424892,10192485,NA,"0"
"Stereo Love - Melodic","Stereo Love Deluxe (feat. Vika Jigulina)","Edward Maya",2024-05-06,"ROCMA2413380","61","187.9",NA,"2",135,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,420235997,"885.12300000000005",NA,0,NA,"0"
"Very Cute Melody by Marimba Tone (39813)","Very Cute Melody by Marimba Tone (39813)","mitsu sound",NA,"RUA1H2406425","62","186.5",1.384,"2",801,NA,222.076,5.43,5013500,605320683,8811416708,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Supernova","Supernova","aespa",NA,"KRA302400090","63","186.1",69729033,"2.4830000000000001",21046278,"81",111310770,1724693,56.6,61038623,393973528,32059104,"40","709",13,7,544.322,"14",45.515,"100",255.951,63.283,NA,"0"
"Me Porto Bonito","Un Verano Sin Ti","Bad Bunny",2022-06-05,"QM6MZ2214877","64","184.8",1811990630,"173.358",67603671,"79",1516863120,8870768,4506600,549886060,6470937272,934894575,"124","77.12",327,44,14871714,"63",111324744,"39.122999999999998",NA,3393920,NA,"1"
"Back That Azz Up (feat. Lil Wayne & Mannie Fresh)","400 Degreez (Deluxe Edition)","JUVENILE",NA,"USCM52400059","65","181.4",199929812,"4",98,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,0,NA,NA,390345308,"399.79300000000001",NA,0,NA,"1"
"Calm Down","Calm Down","Rema",2022-10-02,"NGA3B2214004","66","180.1",584427088,"182.994",19203258,"68",1141904909,8766235,6129450,856216952,18216656774,2952879912,"138","191.63399999999999",759,53,3481756,"45",98290873,"46.039000000000001",14668216,22563407,NA,"0"
"CARNIVAL","CARNIVAL","ýý$",2024-08-02,"QZ7XS2400012","67","179.6",466887055,"53.841999999999999",103935623,"84",27688666,449.112,NA,NA,NA,33817299,"42","53.332999999999998",NA,11,199.915,"29",1359484,"11.303000000000001",11703609,1982000,NA,"1"
"Kill Bill","SOS","SZA",2022-08-12,"USRC12204584","68","177.7",1873746537,"190.202",99546318,"82",220538045,3153793,266.43,152410048,1284413960,426461749,"214","655.24199999999996",5.448,73,1304067,"122",57350590,"61.27",16992932,4873832,NA,"0"
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")","Billie Eilish",NA,"USUM72307484","69","177.6",891720245,"114.56",97542546,"82",144741616,2761964,1443103,498822693,3998086216,1384310160,"168","275.11900000000003",68,108,10920686,"111",39374594,"19.920999999999999",5418596,4476509,NA,"0"
"Babba","Black Book ID's: Chapter 5 - EP","Guy Mac",2023-03-03,"QZA742305720","70","176.2",46.567,"252",21.93,"6",2038459981,6076902,NA,NA,NA,NA,"2","29",NA,0,NA,NA,1.456,NA,NA,903,NA,"0"
"Heat Waves","Heat Waves","Glass Animals",NA,"GBUM72000433","71","175",2996181078,"486.27800000000002",112416489,"82",1272898075,14947520,1416295,513334446,5518429969,4899313022,"459","1,414,326",1.434,170,11862378,"95",122247640,"160.43100000000001",NA,17848778,NA,"0"
"In the End","Papercuts","Linkin Park",2024-12-04,"USWB11201322","72","174.8",2045512421,"97",488.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2",NA,NA,NA,0,NA,"0"
"Shakira: Bzrp Music Sessions","Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",NA,"45231","UYB282301031","73",174.3,"946,941,510",100.13,"74,836,321",74,776436101,12951756,4210895,797017650,11936401096,"457,987,382","110",165.67,180,106,"4,971,379",92,"48,806,666",10.225,0,"2,237,762",NA
"The Way We Move - Extended Mix","The Way We Move","PowerDress",2023-10-03,"UKACT2330463","74","173.6",7.909,"38",15.023,"4",1999374091,5708577,NA,NA,NA,NA,NA,"59",NA,0,NA,NA,NA,NA,NA,1.412,NA,"0"
"Old Town Road","Old Town Road","Lil Nas X",NA,"USSM11901941","75","170.3",1010494713,"127.393",18652312,"67",3203314695,41487213,5757883,187301054,1981431049,939714925,"63","49.78",2.195,64,397.418,"100",181784010,"2,022,074",106880548,8856633,NA,"0"
"un x100to","un x100to","Grupo Frontera",NA,"QM6N22311285","76","170.2",1008495696,"99.381",57394938,"75",878892413,4425283,796.603,127651887,1669065906,1522934425,"101","73.480999999999995",225,42,5734172,"81",55857743,"15.528",NA,2283747,NA,"0"
"Laxed ï¿½ï¿½ï¿½ Sire","Laxed (Siren Beat)","Jawsh 685",NA,"NZAM02001128","77","168.9",NA,"10.23",1142937,NA,12489728,339.414,42900000,919945708,12221514692,NA,NA,NA,NA,0,NA,NA,5678792,NA,NA,0,NA,"0"
"Sprinter","Sprinter - Single","Dave",2023-01-06,"GBUM72305159","78","168.1",692512930,"199.828",55464762,"78",219666692,2332307,731.797,130560533,1254944697,918145630,"155","42.082000000000001",36,41,1790031,"76",411.656,"3.4140000000000001",12405917,3093667,NA,"1"
"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",NA,"USUM72401988","79","167.8",169410711,"11.028",144854768,"90",19402457,997.411,284,NA,NA,260377114,"185","1.008",NA,53,20737850,"59",521.322,"698",1680434,388.625,NA,"0"
"TQG","TQG","KAROL G",NA,"USUM72222541","80","167.8",1024381758,"78.554000000000002",69319589,"78",1102289596,8953293,457.111,15048444,248168852,1174053183,"138","149.584",38,84,8850320,"131",68022934,"16.510999999999999",164.895,3488226,NA,"1"
"Perfect","ýý (Deluxe)","Ed Sheeran",2017-03-03,"GBAHS1700024","81","167.5",2969999682,"280.16500000000002",116921604,"81",6473698897,39632673,6642975,601244764,7647479866,1708317539,"208","263.38600000000002",129,343,1242581,"102",617483078,"595.05200000000002",NA,0,NA,"0"
