"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"Rake It Up","Rake It Up","Yo Gotti",NA,"USSM11705366","3.9239999999999999","21.6",365789171,"47.875",14327367,"58",347981506,2544004,24.502,12009436,75103695,150027731,"75","8",51,7,28.364,"16",336119724,"272.01",1720331,3844287,NA,"1"
"De Vuelta Pa' La Vuelta","De Vuelta Pa' La Vuelta","Daddy Yankee",2020-10-12,"US2BU2001211","3.91","21.6",164788147,"23.300999999999998",15473906,"62",426336235,1881474,20.7,3047195,44074315,15887557,"23","27.67",21,5,14.722,"13",20338538,"8.7010000000000005",NA,1159159,NA,"0"
"Sunshine","Sunshine","OneRepublic",2021-10-11,"USUM72100506","3.8980000000000001","21.6",426609723,"59.377000000000002",40654330,"73",21063557,222.445,20.366,7424142,85043400,107775025,"58","416",37,46,360.13,"15",85107847,"21.991",NA,791.789,NA,"0"
"Walk","Walk/Spin","Kodak Black",NA,"USAT22214755","3.903","21.6",62323136,"33.941000000000003",10580136,"54",34075392,466.729,12.66,2989810,25342217,26163643,"6","2.75",544,1,4.517,NA,3561732,"2.3279999999999998",10571345,288.137,NA,"1"
"9 bis 9","9 bis 9","SIRA",2023-05-05,"DEKF22300419","3.9350000000000001","21.5",107950388,"34.674999999999997",5950045,"66",1812251,22.038,30.05,3246009,30673708,134478578,"18","15.872999999999999",NA,11,3411294,"7",NA,NA,NA,275.083,NA,"0"
"Versace on the Floor","24K Magic","Bruno Mars",NA,"USAT21602949","3.9489999999999998","21.5",797648369,"64.010999999999996",17977153,"72",733721686,4991700,200.226,11637624,99524212,157272972,"73","18.786999999999999",2,32,689.571,"11",93218337,"92.006",NA,0,NA,"0"
"Bailando","Bailandome","El Jordan 23",2022-10-02,"QZFZ72288773","3.9540000000000002","21.5",138986512,"24.359000000000002",2386279,"61",266765542,1330194,89.573,33563623,240950847,102272379,"4","609",NA,1,3.148,NA,NA,NA,NA,410.223,NA,"0"
"Runaway (U & I) [Dance]","This Is MELON, Vol. 1 (Dance)","MELON",NA,"ZZOPM2342242","3.9609999999999999","21.5",13502324,"3.1240000000000001",10531046,"42",212073431,567.112,36.441,6215572,136579723,NA,"1","1",NA,3,167.042,NA,5.297,"240",NA,106.448,NA,"0"
"Hasta la Miel Amarga (feat. Grupo Firme)","Hasta la Miel Amarga (En Vivo)","Luis Angel ""El Flaco""",2020-01-05,"QZDQH1832675","3.94","21.5",164007720,"14.849",8963601,"41",588981015,1697071,8.234,1704435,18781987,15664693,"1","1.712",NA,0,NA,"8",37364914,"7.4850000000000003",NA,491.755,NA,"0"
"Love Me Like This","expï¿½ï¿½rgo","NMIXX",NA,"US5TA2200195","3.9369999999999998","21.5",96439278,"9.9990000000000006",5451670,"64",153565263,1299976,34.86,36819235,208385821,51855304,"6","789",11,2,192,NA,315.735,"388",NA,178.962,NA,"0"
"Buss It","Buss It","Erica Banks",NA,"USUYG1312999","3.9359999999999999","21.5",145000664,"32.201999999999998",13605018,"53",114367853,1294275,2840314,966925936,7546931289,68697361,"34","27.382000000000001",144,13,13.556,"16",NA,NA,NA,1452339,NA,"1"
"Five Nights at Freddy's","Five Nights at Freddy's (Original Motion Picture Soundtrack)","The Newton Brothers",NA,"USQ4E2205224","3.9409999999999998","21.5",17822349,"5.85",722.543,NA,23346903,555.249,385.7,76117590,591105266,NA,"2","2",NA,0,NA,NA,88.794,"1.421",297.246,143.37,NA,"0"
"BODYGUARD","COWBOY CARTER","Beyoncï¿",NA,"USSM12402709","3.956","21.5",56412921,"4.391",32285153,NA,5216744,84.09,NA,NA,NA,281.032,"31","2.0619999999999998",NA,33,1259894,"30",875.66,"755",NA,96.344,NA,"1"
"Matte Black","Sing Me a Lullaby, My Sweet Temptation","$uicideboy$",NA,"QZAPK2000269","3.9380000000000002","21.5",162889846,"45.505000000000003",2568098,"69",82186979,804.789,16.659,8712382,49371617,4329789,"1","1.319",22,1,53.318,NA,6608498,"3.6",NA,351.439,NA,"1"
"Animals","Animals - Single","Martin Garrix",2013-01-01,"NLZ541300467","3.9569999999999999","21.5",413855724,"67.911000000000001",11433179,"61",62878984,569.92,58.19,13747633,170836810,26070341,"80","8.0440000000000005",375,27,64.976,"24",164294520,"462.20699999999999",74446604,17865575,NA,"1"
"Akh Lad Jaave (From ""Loveyatri"")","Akh Lad Jaave (From ""Loveyatri"")","Badshah",NA,"INS181801889","3.95","21.5",97600091,"10.461",4441829,"55",966173774,5203477,NA,2.364,49.191,131470144,"14","681",NA,0,NA,"7",NA,NA,NA,432.493,NA,"0"
"Uhaw","Uhaw","Dilaw",NA,"PHW012200294","3.9580000000000002","21.5",42862565,"5.0839999999999996",1645697,"54",9151739,70.548,1712700,62906993,670266290,NA,"3","8",NA,0,NA,NA,NA,NA,NA,8.995,NA,"0"
"FRIKI","FRIKI","Feid",2021-10-12,"USUM72123054","3.9390000000000001","21.5",255973824,"28.166",14221715,"71",230466044,1013942,122.297,27668937,333978136,194906618,"30","13.244",265,14,276.606,"22",24601618,"1.6160000000000001",NA,429.833,NA,"0"
"GOAT","Goat - Single","Number_i",2024-01-01,"JPY932300029","3.9510000000000001","21.5",34820660,"762",2929511,"66",68873278,518.809,NA,14,173,529004884,"8","620",NA,1,9.615,"5",NA,NA,NA,213.386,NA,"0"
"Bondade de Deus","Bondade de Deus","Isaias Saad",NA,"BCII12200001","3.96","21.5",91842323,"15.91",8695499,"63",237180411,1961210,554.995,6613662,149090596,508.469,"10","82",NA,56,7488178,"9",NA,NA,NA,0,NA,"0"
"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey",2023-10-03,"GBUM72206754","3.9319999999999999","21.5",240686521,"33.015999999999998",33841199,"75",21.619,626,159.4,53743157,349168412,NA,"3","2.028",22,13,499.463,"5",912.274,"2.6520000000000001",149.385,632.58,NA,"0"
"NINNIN JACK","DEPARTURE","IMP.",NA,"JPY932300076","3.927","21.5",207.454,"23",356.969,NA,8963678,36.984,NA,NA,NA,NA,"4","63",NA,0,NA,"4",NA,NA,NA,2.055,NA,"0"
"Love 119","Love 119","RIIZE",2024-05-01,"KRA302400001","3.9279999999999999","21.5",40415304,"2.5089999999999999",8351511,"59",56771181,675.344,25.8,664.843,3801500,629039777,"10","1.266",13,5,158.455,"15",19.933,"62",NA,80.35,NA,"0"
"Jar of Hearts","jar of hearts","Christina Perri",NA,"USAT21001508","3.9449999999999998","21.5",534874667,"65.494",31544782,"65",562197656,3376379,39.886,11224332,109689471,184101526,"42","39.523000000000003",98,20,25.418,"10",615706841,"895.66600000000005",NA,6027852,NA,"0"
"UP","UP","INNA",NA,"ROGRA2101937","3.944","21.5",35440292,"7.6109999999999998",1055511,"49",105583094,723.839,1783882,35896632,1048666929,5222774,"8","34.143999999999998",NA,9,457.32,NA,77.119,"48",NA,2431616,NA,"0"
"Gotta Move On (feat. Bryson Tiller)","The Love Album: Off the Grid (Extended)","Diddy",NA,"USUG12203038","3.9340000000000002","21.5",44931644,"309",110.085,NA,2181868,26.263,NA,NA,NA,NA,"5","117.928",NA,0,NA,NA,6020706,"3.4260000000000002",45.722,0,NA,"0"
"Chasing Game","Various Worldwide IV","Nick Hanzo",2022-01-07,"DEH742211994","3.9460000000000002","21.5",NA,"1",80,NA,377233092,352.337,NA,NA,NA,2971609,NA,"11",NA,0,NA,NA,NA,NA,NA,18,NA,"0"
"LOS APARATOS","LOS APARATOS","El Alfa",2022-03-08,"QM6P42213591","3.9430000000000001","21.5",137720938,"30.579000000000001",5580377,"65",153725209,1337733,1.167,47.967,950.882,3483302,"12","9.1809999999999992",40,6,67.183,"1",3762219,"1.3380000000000001",NA,602.689,NA,"0"
"ýýQuýý Nos Pasýý?","ýýQuýý Nos Pasýý? - Single","Anuel AA",NA,"QM6MZ2220000","3.9260000000000002","21.5",161990851,"31.667999999999999",4718236,"68",187450025,1297403,9.929,2748358,28786547,341414931,"5","576",NA,1,31.377,NA,1465671,"515",NA,412.492,NA,"1"
"I Won't Give Up","Chï¿½ï¿½rie Summer","Jason Mraz",2012-01-01,"USEE11100768","3.9249999999999998","21.5",850863163,"91.617000000000004",43046356,"62",21096118,126.444,59.874,7909056,77268402,10.95,"70","147",27,29,76.256,"10",983589132,"665.58900000000006",NA,7898160,NA,"0"
"I GUESS I'M IN LOVE","I GUESS I'M IN LOVE","Clinton Kane",NA,"USSM12104467","3.9590000000000001","21.5",416972132,"75.352000000000004",37597369,"63",27881902,283.314,262.243,132202012,1003766991,5.373,"37","6.452",4,30,154.015,"15",10462787,"8.2080000000000002",NA,791.89,NA,"0"
"Tapï¿½ï¿½o Na","Som No Talo","Raï¿½ï¿½ Saia Ro",NA,"BRS4R2000060","3.9329999999999998","21.5",196159389,"21.913",6808067,"53",452999889,2998357,226.305,21523496,349411180,246973235,"23","1.944",NA,49,201.574,"5",NA,NA,NA,360.078,NA,"0"
"Angry","Angry","The Rolling Stones",2023-06-09,"GBUM72302314","3.9529999999999998","21.5",31185560,"10.629",9924829,NA,31460860,421.898,NA,NA,NA,17219087,"28","43.698999999999998",NA,17,1899063,"36",3754757,"2.339",NA,439.886,NA,"0"
"SWEET / I THOUGHT YOU WANTED TO DANCE","CALL ME IF YOU GET LOST","Tyler, The Creator",NA,"USQX92102138","3.9470000000000001","21.5",269671235,"93.760999999999996",9361340,"69",36399833,578.718,47.742,29143512,124695761,9.213,"10","1.3660000000000001",NA,3,12.887,"9",634.409,"3.0670000000000002",NA,551.47,NA,"1"
"Yes I'm A Mess","Yes I'm A Mess","AJR",NA,"USUG12305391","3.948","21.5",43940810,"6.9180000000000001",9962020,NA,13505487,255.255,247,525.527,7067986,15730507,"8","47.851999999999997",371,3,3.267,"17",22282533,"6.0519999999999996",NA,202.276,NA,"1"
"Try","NRJ Hit List 2012 Vol 2","P!nk",2012-01-01,"USRC11200785","3.9550000000000001","21.5",662971898,"94.974000000000004",33907759,"74",990716604,4801576,626.315,63289716,689599858,267410979,"57","136.14099999999999",82,38,415.22,"30",217677468,"122.11",NA,4.968,NA,"0"
"Saiyaan Ji","Saiyaan Ji","Yo Yo Honey Singh",NA,"INS182100158","3.9420000000000002","21.5",39793463,"5.6459999999999999",1398949,"48",585353915,6571121,NA,NA,NA,228557696,"1","1.0589999999999999",NA,0,NA,"3",NA,NA,NA,197.659,NA,"0"
"VVS Switch","VVS Switch","Pressure 9X19",2023-10-10,"QZSYP2394390","3.9289999999999998","21.5",44343451,"5.2409999999999997",2934957,NA,68122505,1142953,10.2,8722857,57791681,13550330,NA,"2",NA,0,NA,NA,42.761,"104",1254858,270.429,NA,"1"
"Can I Call You Tonight?","Can I Call You Tonight?","Dayglow",NA,"TCADL1825079","3.93","21.5",596164214,"158.63900000000001",32332004,"71",207640042,2700851,71.731,26297718,155192084,12234172,"30","4.6639999999999997",125,10,121.871,"5",15042745,"10.452999999999999",NA,2303064,NA,"0"
"Sweet Child O' Mine","Appetite For Destruction","Guns N' Roses",NA,"USGF18714809","3.931","21.5",1879386440,"295.49099999999999",96032046,"80",2007460784,11222080,623.935,57957597,673282408,743526260,"212","145.67099999999999",416,215,3290536,"107",885046947,"444.60599999999999",NA,10345515,NA,"1"
"DISPO","DISPO","KAROL G",2023-10-08,"USUG12305267","3.952","21.5",113567783,"11.7",10018246,"68",70427226,409.549,NA,NA,NA,NA,"7","1.33",4,2,239.22,"16",10704039,"792",NA,134.837,NA,"1"
"Obsessed","Obsessed","Riar Saab",NA,"QMBZ92299094","3.972","21.4",161366691,"18.780999999999999",6151558,"64",167537164,1497169,133.3,16562523,286891984,NA,"22","918",NA,1,1.097,"9",NA,NA,NA,479.047,NA,"0"
"Here We Go (Uh Oh)","Here We Go (Uh Oh)","Coco Jones",2024-03-05,"USUM72404366","3.9780000000000002","21.4",3459469,"675",18922968,NA,30.547,846,NA,NA,NA,NA,"18","8.7850000000000001",NA,3,208.991,"29",3989935,"392",186.653,133.763,NA,"0"
"Madrid City","Madrid City","Ana Mena",NA,"ES5022302278","3.9660000000000002","21.4",64860954,"8.4809999999999999",12819927,NA,30204546,157.044,42.288,52602381,462395885,93824319,"53","26.994",NA,41,11320652,"27",7.026,"51",NA,885.647,NA,"0"
"Bring It on Home to Me","Soul Essentials : Chill With the Legendary Voices of Soul Music","Sam Cooke",NA,"FR6F32334310","3.99","21.4",293683495,"2",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Ropa Cara","Ropa Cara","Camilo",NA,"USSD12000609","3.9790000000000001","21.4",185362995,"19.981000000000002",3838967,"50",315331221,3732558,1115600,148110661,1309968091,33382623,"43","11.813000000000001",203,9,83.927,"17",3615841,"5.6230000000000002",NA,421.946,NA,"0"
"Straightenin","Straightenin","Migos",NA,"USUG12100188","3.968","21.4",135665686,"61.959000000000003",9905843,"51",158341543,1541456,22.945,8690617,98085095,79102641,"67","35.357999999999997",2,16,139.088,"11",36411677,"7.5439999999999996",NA,1039383,NA,"1"
"Percherï¿½","Las Canciones De La Granja De Zenï¿½ï¿½n Vo","El Reino Infantil",NA,"ARF061501325","3.988","21.4",17238604,"1.581",439.901,"49",1267939965,2741076,4.008,289.571,14803398,NA,"1","5",NA,0,NA,NA,NA,NA,NA,23.734,NA,"0"
"Bring Me To Life","Fallen","Evanescence",2003-01-01,"USWU30200093","3.9630000000000001","21.4",1129346989,"229.49100000000001",68545536,"79",1380253721,9926891,511.462,98118550,906228976,720637057,"91","230.78200000000001",277,70,765.734,"43",NA,NA,NA,12505209,NA,"0"
"Espectacular","Espectacular - Single","Sky Rompiendo",NA,"USSD12400197","3.9710000000000001","21.4",29254420,"3.415",44650919,NA,4214564,68.306,NA,NA,NA,7608525,"30","1.177",42,21,184.327,"32",1037782,"89",NA,124.413,NA,"0"
"Me Gusta","Me Gusta","Shakira",NA,"USQX92000112","3.9910000000000001","21.4",353815769,"49.237000000000002",19452357,"61",392297415,3298273,83.8,9584342,108385612,13253315,"95","50.622999999999998",10,41,325.193,"42",14773195,"4.0720000000000001",NA,2962296,NA,"0"
"Middle","Middle","DJ Snake",NA,"USUM71515784","3.9740000000000002","21.4",1068023888,"136.601",31036842,"70",43143589,435.488,993.544,34574490,288028736,NA,"193","33.17",21,71,231.159,"9",209483734,"129.62899999999999",NA,12615013,NA,"0"
"Ron Artest","Ron Artest","Babyface Ray",2023-08-02,"USUYG1468508","3.9729999999999999","21.4",63725545,"28.846",5713050,"65",17655608,162.513,200,31.919,243.757,NA,"5","42",242,0,NA,NA,NA,NA,7292189,386.729,NA,"1"
"El Patito Juan","La Hormiguita Hippie","Biper Y Sus Amigos",NA,"QZ2J21500186","3.9689999999999999","21.4",29422741,"3.04",672.003,"54",2970122390,1957811,90.413,6203573,119966916,NA,NA,"174",NA,2,480.864,"5",515.384,"14.763999999999999",NA,199.39,NA,"0"
"Different 'Round Here","Different 'Round Here","Riley Green",2023-11-05,"QZRD92302492","3.98","21.4",74806048,"9.0139999999999993",9899290,"60",NA,NA,5.369,1117305,11672926,NA,"14","141.886",NA,7,1677801,"9",1176095,"188",NA,157.134,NA,"0"
"Jumpshot","Sunday","Dawin",NA,"USUM71606698","3.976","21.4",71345247,"8.3339999999999996",1543930,"45",92840225,813.836,8797888,51952711,274234939,7,"2","264",NA,1,2.924,NA,1814245,NA,NA,926.395,NA,"0"
"Mockingbird","Encore (Deluxe)","Eminem",2004-12-11,"USIR10400813","3.9830000000000001","21.4",1680919413,"293.38499999999999",44640604,"82",244059770,2900004,12.73,8273097,76886329,228.292,"79","13.192",5,31,722.512,"15",520681974,"406.63099999999997",NA,9764188,NA,"1"
"Drift Night","Drift Night","Alfianie",NA,"SGB502231047","3.9670000000000001","21.4",218.621,"137",18.188,"29",NA,NA,2101254,52544476,1029125885,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Asesina","Asesina","Brytiago",2018-01-05,"QM4TX1806458","3.9820000000000002","21.4",362670547,"33.710999999999999",5993578,"62",712253277,3550138,19.671,1657667,17887810,30023085,"11","1.3380000000000001",NA,9,17.915,"29",144936900,"26.295000000000002",NA,0,NA,"1"
"Jennifer's Body","A Great Chaos","Ken Carson",NA,"USUM72314188","3.9860000000000002","21.4",53163000,"24.166",3988753,NA,NA,NA,1.636,645.737,5105135,NA,"1","31",219,3,417.707,"2",206.234,"758",NA,65.875,NA,"1"
"In Da Club","Q-music Top 500 Van Deze Eeuw - 2011","50 Cent",NA,"NLD141100088","3.9809999999999999","21.4",10163724,"11",111,NA,2248807705,13922683,NA,NA,NA,789447890,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"bread & butter","bread & butter - Single","Gunna",2023-02-06,"USAT22305917","3.9769999999999999","21.4",50098085,"29.986000000000001",3865630,"54",30556463,330.529,6.12,815.019,9089105,61703814,"40","1.1599999999999999",NA,2,5.937,NA,4935955,"1.7889999999999999",NA,280.974,NA,"1"
"ýýýýýýýýýýýý","ýýýýýýýýýýýý","Aimer",2021-06-12,"JPU902104729","3.9750000000000001","21.4",227696852,"34.276000000000003",6961653,"63",250190214,1270608,NA,NA,NA,86777760,"35","1.9219999999999999",NA,5,8.662,"3",662.602,"324",NA,403.076,NA,"0"
"Smile (with The Weeknd)","Legends Never Die","Juice WRLD",2020-10-07,"USUG12002597","3.984","21.4",463970393,"92.879000000000005",13210421,"62",130269657,1671937,5.289,125.617,1309847,14422648,"46","10.816000000000001",NA,16,6.406,"11",42898693,"20.771999999999998",NA,793.274,NA,"1"
"XXL","EL CHAVO","UZI",2022-09-09,"FRX762205380","3.9620000000000002","21.4",70664645,"13.324",1760479,"58",246582532,3314166,26.4,4104584,69529104,NA,"1","706",NA,0,NA,NA,NA,NA,NA,84.153,NA,"1"
"Yes or No","GOLDEN","Jung Kook",2023-03-11,"USA2P2348392","3.97","21.4",167384917,"7.556",4756460,NA,46061623,617.032,NA,1932205,14147233,42351748,"4","1.653",21,2,340.015,NA,885.984,"803",NA,172.882,NA,"0"
"Entrapreneur","Entrapreneur","Central Cee",NA,"USSM12309238","3.9870000000000001","21.4",27850857,"13.872999999999999",8249759,NA,13933188,336.872,NA,NA,NA,235522928,"10","3.4209999999999998",711,18,237.64,"12",983.003,"74",NA,84.148,NA,"1"
"Show Me How","Show Me How - Single","Men I Trust",NA,"TCADM1873570","3.9649999999999999","21.4",466462034,"145.27799999999999",21911416,"20",91890599,1551928,253.094,221768120,1503260547,1051268048,"25","1.2270000000000001",102,5,7.432,"4",2932987,"1.544",15339480,989.841,NA,"0"
"Pour It Up","Unapologetic (Edited Version)","Rihanna",2012-01-01,"USUM71214737","3.964","21.4",417616725,"59.548000000000002",22751107,"64",498382704,2551106,2.466,3960964,9984519,146752455,"53","27.541",40,19,201.083,"18",652081066,"745.65",NA,3449652,NA,"1"
"MONEY AND VIBES","MONEY AND VIBES","Nemzzz",NA,"US38Y2305407","3.9849999999999999","21.4",35900099,"17.596",1306168,NA,3551154,60.217,43.374,5449953,45531637,NA,"5","782",NA,2,55.922,"3",NA,NA,1877628,93.958,NA,"1"
"Macarena (Bayside Boys Remix) (Remasterizado)","Viva el Verano (Remasterizado 2022)","Los Del Rio",NA,"ES5022201032","3.9889999999999999","21.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15187618,"395.26100000000002",NA,0,NA,"0"
"Love Is Gone - Acoustic","Love Is Gone (Acoustic)","SLANDER",NA,"CA5KR1969481","3.9929999999999999","21.3",486647778,"83.293999999999997",21025597,"71",239866189,2910072,78.646,21105667,147581751,245.093,"6","2.226",NA,1,380,NA,15700689,"21.904",NA,3817868,NA,"0"
"Yakï¿½ï¿½ï¿½ï","Yakï¿½ï¿½ï¿½ï","Kï¿½ï",NA,"TRAUR2300059","4.0170000000000003","21.3",63563583,"3.4079999999999999",7197789,"69",58005062,102.744,NA,NA,NA,388282635,"12","12.752000000000001",NA,4,1584544,NA,NA,NA,NA,158.526,NA,"0"
"Por las Noches (Remix)","Por las Noches (Remix) - Single","Peso Pluma",NA,"USQX92301266","4.0229999999999997","21.3",129370457,"14.028",4216550,"62",137242871,910.371,8.604,9221690,100106095,94.322,"8","851",NA,6,40.004,"7",4613918,"1.202",NA,350.394,NA,"0"
"TABU.","TABU.","Yung Yury",NA,"QZES82389788","4.0090000000000003","21.3",110533607,"40.021000000000001",4746927,"63",7522346,53.344,32.406,5368267,54432181,NA,"12","8.6560000000000006",NA,4,8.084,"2",NA,NA,NA,269.055,NA,"0"
"Toxic","Toxic","YG",2022-12-08,"USUM72215025","4.0060000000000002","21.3",36861625,"18.739000000000001",2015690,"48",45862527,493.206,79.369,18282687,146110913,924079774,"7","131.33199999999999",626,7,25.236,"4",28403185,"9.07",NA,1083165,NA,"1"
"Hua Main (From ""ANIMAL"")","Hua Main (From ""ANIMAL"")","Raghav Chaitanya",2023-11-10,"INS182302918","4.0039999999999996","21.3",97393603,"4.0720000000000001",7100504,NA,89293152,804.501,NA,NA,NA,156370261,"11",NA,NA,0,NA,"8",NA,NA,NA,80.167,NA,"0"
"Patadas de Ahogado / LATIN MAFIA - Rework","Patadas de Ahogado / LATIN MAFIA (Rework)","HUGEL",2024-01-03,"MXF012400211","4.0119999999999996","21.3",30377279,"7.4169999999999998",41642055,NA,454.55,7.485,NA,NA,NA,3117914,"20","140",3,37,400.425,"17",6.058,"80",35.719,722.006,NA,"0"
"Avï¿½ï¿½","Avï¿½ï¿½","Lucky Brown",2024-03-05,"CLA1D2400046","4.0199999999999996","21.3",12589295,"889",15385715,"69",13732957,115.078,NA,NA,NA,18929938,"2",NA,NA,0,NA,NA,2.829,"3",NA,34.082,NA,"1"
"Solid (feat. Drake)","Slime Language 2","Young Stoner Life",NA,"QMCE32100237","3.992","21.3",277393068,"103.47",22919370,"61",932.111,15.329,833,622.471,6843990,NA,"73","4.7380000000000004",NA,15,63.439,"8",35674166,"4.4219999999999997",NA,772.897,NA,"1"
"Joro","Joro","Wizkid",NA,"USRC11901068","4.0049999999999999","21.3",117819788,"59.052",4339220,"59",312077132,1773615,822.706,192976549,1866473503,26870032,"59","5.3239999999999998",1,27,155.965,"5",4356329,"3.0329999999999999",5341193,3178427,NA,"0"
"House Of Lies","House Of Lies","Ikka",NA,"INS182401441","4.0129999999999999","21.3",5200791,"137",2965343,"42",10354894,189.908,NA,NA,NA,19904542,"9","9",NA,0,NA,"6",NA,NA,NA,3.744,NA,"0"
"Stop Breathing","Whole Lotta Red","Playboi Carti",NA,"USUM72024691","4.0019999999999998","21.3",178750521,"76.739000000000004",7135729,"66",33772398,478.84,13.4,13371649,88268263,65457710,"7","32",NA,3,1.625,NA,392.907,"2.3140000000000001",20197624,337.335,NA,"1"
"The Rapture Pt.III","The Rapture Pt.III - Single","&ME",2023-09-06,"DEEC33501048","4.016","21.3",34601626,"34.271999999999998",14914861,"65",NA,NA,623,60.724,869.444,NA,"20","158",NA,9,38.641,"21",NA,NA,NA,989.728,NA,"0"
"all the good girls go to hell","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",NA,"USUM71900766","4.008","21.3",640099263,"74.072000000000003",22449798,"68",342695701,7870079,80.736,22722423,204727914,21756608,"40","22.495000000000001",87,19,231.931,"13",44739129,"59.134999999999998",NA,1434669,NA,"0"
"Hate You","GOLDEN","Jung Kook",2023-03-11,"USA2P2348394","4.0209999999999999","21.3",104618147,"5.8150000000000004",3269253,NA,49859367,2196731,88.4,4620477,21112856,396885729,"1","124",5,1,337.935,"1",639.507,"411",NA,120.75,NA,"0"
"Spell","SEVENTEEN BEST ALBUM '17 IS RIGHT HERE'","SEVENTEEN",NA,"USA2P2415977","3.9980000000000002","21.3",9866591,"621",1236012,NA,16856738,641.553,NA,NA,NA,5822984,NA,"14",NA,1,5.134,NA,32.264,"31",22.297,20.583,NA,"0"
"Chase It (Mmm Da Da Da)","Chase It (Mmm Da Da Da)","Bebe Rexha",NA,"USWB12401323","3.9950000000000001","21.3",6958248,"1.226",59656421,NA,2816970,81.956,NA,184,4.881,78719562,"32","3.6349999999999998",102,25,1379653,"70",339.888,"63",26.93,49.922,NA,"0"
"Mï¿½ï¿½","Mï¿½ï¿½","Nio Garcia",NA,"QM4TW1972660","4.0149999999999997","21.3",76516847,"14.31",2814938,"48",865812768,3458107,7.543,422.844,4319903,14012477,"3","107",10,1,619,"5",21806073,"4.4059999999999997",NA,198.643,NA,"1"
"So Fine","So Fine","Realest Cram",2023-08-07,"DGA052326707","3.996","21.3",52265945,"3.9569999999999999",3289713,"62",39586218,99.471,719.7,19158587,160140881,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9.518,NA,"1"
"My Universe","My Universe - Single","Coldplay",NA,"GBAYE2100910","3.9940000000000002","21.3",NA,NA,NA,NA,108.142,917,NA,NA,NA,NA,"133","437.95",NA,0,NA,NA,NA,NA,NA,5413560,NA,"0"
"Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-01-04,"USUM71603067","4.0030000000000001","21.3",1102322992,"191.71899999999999",29522697,"79",98389487,1056464,35.675,34872507,243179588,18.942,"88","853",60,17,200.329,"25",105323044,"60.012999999999998",NA,3413462,NA,"1"
"505","Favourite Worst Nightmare","Arctic Monkeys",NA,"GBCEL0700074","3.9990000000000001","21.3",1660504577,"315.65699999999998",60158552,"80",611110729,4963235,52.713,40161014,229596064,24.875,"33","5.7130000000000001",21,25,749.483,"22",43563662,"36.880000000000003",NA,2550560,NA,"0"
"Banco do Carona","Banco do Carona","Mc Don Juan",NA,"BRWMB2300660","4.0190000000000001","21.3",71078859,"9.468",8189292,"60",152076565,714.71,5.397,1222669,14276253,11338650,"3",NA,NA,18,271.037,"2",NA,NA,NA,138.592,NA,"0"
"DISCOTEKA (feat. Locura Mix)","DISCOTEKA (feat. Locura Mix)","The La Planta",NA,"BK4DA2301022","4.0010000000000003","21.3",89073254,"15.308",4179773,"60",142372911,435.06,81,5183143,64861163,NA,NA,"965",NA,0,NA,"4",223,NA,NA,93.551,NA,"0"
"thanK you aIMee","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",NA,"USUG12402546","4.0179999999999998","21.3",65809859,"1.728",11038428,NA,6877351,113.555,NA,NA,NA,NA,"5","147",NA,1,110.574,"19",1318153,"2.4359999999999999",NA,20.504,NA,"1"
"I Get The Bag (feat. Migos)","I Get The Bag (feat. Migos)","Gucci Mane",NA,"USAT21703179","4.0220000000000002","21.3",554022596,"98.430999999999997",18605080,"64",609183858,2885179,327.203,22473072,178883578,173371269,"8","12.752000000000001",23,0,NA,"18",NA,NA,NA,0,NA,"1"
"Terre Pyaar Mein","Terre Pyaar Mein","Himesh Reshammiya",NA,"USA2P2128140","3.9969999999999999","21.3",7762464,"955",135.906,"40",504812090,3667632,40,1722043,36027436,NA,NA,"52",NA,0,NA,NA,9.308,NA,NA,113.112,NA,"0"
"Colors","Colors","Black Pumas",NA,"USATO1900023","4.0140000000000002","21.3",215492373,"91.316999999999993",9796420,"67",291742629,2585653,5.685,2212496,64559724,10472176,"36","48.570999999999998",231,16,251.559,"13",18305762,"19.516999999999999",931.34,2951859,NA,"0"
"Lifetime","Lifetime","Tobiahs",2024-12-01,"AULI02355900","4.01","21.3",33401958,"9.093",38460085,NA,2070128,36.023,NA,NA,NA,474.165,"18","3.8290000000000002",111,15,410.514,"8",114.171,"65",1704088,292.069,NA,"0"
